iter	Passed	Remaining
662	5503	2797
663	5514	2790
664	5525	2783
665	5537	2777
666	5547	2769
667	5558	2762
668	5569	2755
669	5579	2748
670	5589	2740
671	5600	2733
672	5612	2727
673	5624	2720
674	5635	2713
675	5646	2706
676	5655	2698
677	5664	2690
678	5673	2681
679	5681	2673
680	5688	2664
681	5696	2656
682	5704	2647
683	5710	2638
684	5716	2628
685	5722	2619
686	5729	2610
687	5735	2601
688	5741	2591
689	5748	2582
690	5755	2573
691	5761	2564
692	5767	2554
693	5772	2545
694	5778	2535
695	5784	2526
696	5790	2517
697	5796	2507
698	5802	2498
699	5808	2489
700	5815	2480
701	5822	2471
702	5829	2462
703	5835	2453
704	5843	2444
705	5849	2436
706	5857	2427
707	5863	2418
708	5871	2409
709	5879	2401
710	5887	2393
711	5895	2384
712	5903	2376
713	5911	2368
714	5920	2359
715	5929	2351
716	5939	2344
717	5949	2336
718	5957	2328
719	5967	2320
720	5976	2312
721	5986	2304
722	5996	2297
723	6006	2289
724	6018	2282
725	6028	2275
726	6040	2268
727	6050	2260
728	6060	2252
729	6072	2245
730	6085	2239
731	6096	2231
732	6106	2224
733	6117	2216
734	6127	2209
735	6137	2201
736	6147	2193
737	6157	2186
738	6167	2178
739	6177	2170
740	6189	2163
741	6199	2155
742	6210	2148
743	6222	2140
744	6233	2133
745	6244	2125
746	6253	2118
747	6265	2110
748	6276	2103
749	6286	2095
750	6297	2088
751	6308	2080
752	6319	2072
753	6330	2065
754	6341	2057
755	6352	2050
756	6364	2043
757	6374	2035
758	6384	2027
759	6393	2019
760	6402	2010
761	6411	2002
762	6420	1994
763	6429	1985
764	6437	1977
765	6446	1969
766	6455	1960
767	6462	1952
768	6470	1943
769	6477	1934
770	6484	1925
771	6491	1917
772	6497	1908
773	6503	1898
774	6509	1889
775	6514	1880
776	6520	1871
777	6526	1862
778	6532	1853
779	6538	1844
780	6544	1835
781	6550	1826
782	6556	1817
783	6562	1808
784	6568	1799
785	6574	1790
786	6580	1781
787	6587	1772
788	6593	1763
789	6600	1754
790	6606	1745
791	6614	1737
792	6622	1728
793	6629	1719
794	6636	1711
795	6643	1702
796	6650	1693
797	6657	1685
798	6663	1676
799	6669	1667
800	6675	1658
801	6682	1649
802	6690	1641
803	6696	1632
804	6703	1623
805	6708	1614
806	6714	1605
807	6721	1597
808	6728	1588
809	6733	1579
810	6739	1570
811	6745	1561
812	6751	1552
813	6757	1544
814	6763	1535
815	6769	1526
816	6776	1517
817	6783	1509
818	6790	1500
819	6797	1492
820	6806	1483
821	6813	1475
822	6822	1467
823	6830	1459
824	6839	1450
825	6848	1442
826	6858	1434
827	6867	1426
828	6876	1418
829	6886	1410
830	6896	1402
831	6905	1394
832	6916	1386
833	6926	1378
834	6935	1370
835	6945	1362
836	6955	1354
837	6966	1346
838	6977	1338
839	6986	1330
840	6997	1322
841	7007	1314
842	7015	1306
843	7025	1298
844	7034	1290
845	7042	1281
846	7051	1273
847	7061	1265
848	7071	1257
849	7081	1249
850	7091	1241
851	7101	1233
852	7112	1225
853	7122	1217
854	7132	1209
855	7142	1201
856	7154	1193
857	7166	1186
858	7177	1178
859	7188	1170
860	7199	1162
861	7208	1153
862	7218	1145
863	7226	1137
864	7235	1129
865	7242	1120
866	7249	1112
867	7255	1103
868	7262	1094
869	7269	1086
870	7275	1077
871	7282	1068
872	7288	1060
873	7294	1051
874	7301	1043
875	7306	1034
876	7312	1025
877	7317	1016
878	7323	1008
879	7329	999
880	7334	990
881	7340	982
882	7347	973
883	7352	964
884	7358	956
885	7364	947
886	7370	938
887	7376	930
888	7382	921
889	7389	913
890	7396	904
891	7403	896
892	7409	887
893	7417	879
894	7424	871
895	7432	862
896	7441	854
897	7449	846
898	7458	837
899	7468	829
900	7478	821
901	7489	813
902	7500	805
903	7511	797
904	7520	789
905	7530	781
906	7541	773
907	7552	765
908	7563	757
909	7574	749
910	7585	741
911	7597	733
912	7608	724
913	7618	716
914	7628	708
915	7638	700
916	7648	692
917	7658	684
918	7669	675
919	7681	667
920	7692	659
921	7702	651
922	7713	643
923	7725	635
924	7736	627
925	7747	619
926	7759	611
927	7771	602
928	7781	594
929	7792	586
930	7803	578
931	7814	570
932	7824	561
933	7835	553
934	7846	545
935	7858	537
936	7871	529
937	7882	520
938	7893	512
939	7903	504
940	7914	496
941	7923	487
942	7934	479
943	7944	471
944	7955	463
945	7967	454
946	7977	446
947	7987	438
948	7998	429
949	8009	421
950	8021	413
951	8032	404
952	8042	396
953	8053	388
954	8063	379
955	8073	371
956	8083	363
957	8094	354
958	8106	346
959	8117	338
960	8128	329
961	8139	321
962	8150	313
963	8161	304
964	8170	296
965	8181	287
966	8191	279
967	8200	271
968	8209	262
969	8217	254
970	8224	245
971	8232	237
972	8240	228
973	8249	220
974	8258	211
975	8267	203
976	8275	194
977	8281	186
978	8287	177
979	8293	169
980	8299	160
981	8305	152
982	8311	143
983	8318	135
984	8324	126
985	8331	118
986	8337	109
987	8343	101
988	8349	92
989	8356	84
990	8361	75
991	8367	67
992	8373	59
993	8379	50
994	8385	42
995	8391	33
996	8397	25
997	8404	16
998	8410	8
999	8416	0
